,scenario,state,reward_rudder,reward_sail,epoch,wind,x,y,speed,
1,0,1,0,0,2,0.0,0.0,0.0,0.0,
2,0,1,0,0,2,0.0,240.069849007,99.9558906763,0.24186657676692586,
3,0,1,0.0,0.1875,2,0.0,240.353989997,99.9608395202,0.30527391539255927,
4,0,1,0.0,0.125,2,0.0,240.691244034,99.9799569371,0.3963672631827333,
5,0,1,0.0,0.1875,2,0.0,241.056645744,99.984107461,0.35134731942450326,
6,0,1,0.16666666666666666,0.0,2,0.0,241.442631018,100.038590519,0.42870707098923283,
7,0,1,0.16666666666666666,0.0,2,0.0,241.855109373,100.08598323,0.43051293564274595,
8,0,1,0.16666666666666666,0.0,2,0.0,242.289499783,100.154467138,0.4254426424567025,
9,0,1,0.16666666666666666,0.0,2,0.0,242.707021242,100.236930398,0.4337390661281469,
10,0,1,0.16666666666666666,0.0,2,0.0,243.114819974,100.319546153,0.3692193784080338,
11,0,1,0.0,0.0,2,0.0,243.464874104,100.314407002,0.35391295616797047,
12,0,1,0.0,-0.5,2,0.0,243.814444368,100.222528595,0.3307612525380053,
13,0,1,0.0,-0.4375,2,0.0,244.125860927,100.150498854,0.2547201168583038,
14,0,1,0.0,-0.5,2,0.0,244.343065055,100.071638179,0.2298335913255414,
15,0,1,0.0,-0.1875,2,0.0,244.589387047,100.05844795,0.27979943095147736,
16,0,1,0.0,-0.0625,2,0.0,244.885219032,99.9481037083,0.4037424029954681,
17,0,1,0.0,0.0625,2,0.0,245.256774959,99.7933621258,0.4531005954981584,
18,0,1,0.0,-0.25,2,0.0,245.653578534,99.6870410956,0.27892828021329463,
19,0,1,0.0,-0.1875,2,0.0,245.912961409,99.6040052423,0.2618424990557918,
20,0,1,0.0,-0.0625,2,0.0,246.20011902,99.4809364469,0.40040589098843216,
21,0,1,0.0,0.0,2,0.0,246.577444107,99.313235886,0.45009370136870813,
22,0,1,0.0,0.0,2,0.0,246.973975779,99.1280908554,0.4465975276088579,
23,0,1,0.0,0.0,2,0.0,247.378682095,98.9184221696,0.45093541069836973,
24,0,1,-0.16666666666666666,0.0,2,0.0,247.778094119,98.6906127017,0.46364374132358466,
25,0,1,-0.16666666666666666,0.0,2,0.0,248.159713988,98.4461069508,0.47372220868585646,
26,0,1,-0.16666666666666666,0.0625,2,0.0,248.506255251,98.0864301597,0.5024213756072886,
27,0,1,-0.3333333333333333,0.125,2,0.0,248.784725094,97.6842154523,0.4456801785744615,
28,0,1,-0.3333333333333333,-0.5,2,0.0,248.922402872,97.3249950546,0.30395169414121725,
29,0,1,-0.3333333333333333,-0.4375,2,0.0,248.993432632,97.1522120276,0.03998616141909939,
30,0,1,-0.3333333333333333,-0.5,2,0.0,248.96421004,97.2572400944,0.09878646390587288,
31,0,1,-0.3333333333333333,-0.25,2,0.0,248.979806085,97.4490877597,0.3035761802056554,
32,0,1,-0.3333333333333333,0.0625,2,0.0,248.923783963,97.6659434199,0.04676894165136256,
33,0,1,-0.3333333333333333,-0.375,2,0.0,248.939132898,97.6964626491,0.2886339802638305,
34,0,1,-0.5,-0.1875,2,0.0,249.016108888,98.0314556578,0.33443088415955413,
35,0,1,-0.5,-0.25,2,0.0,249.128397897,98.3789193173,0.4300416733225974,
36,0,1,-0.5,-0.125,2,0.0,249.306084836,98.7313128834,0.27759882426290644,
37,0,1,-0.5,-0.3125,2,0.0,249.477486039,99.0504109266,0.48244355930591215,
38,0,1,-0.5,-0.125,2,0.0,249.767371376,99.3837738,0.34217484403222104,
39,0,1,-0.5,-0.3125,2,0.0,250.006177224,99.6598964384,0.4399188623032044,
40,0,1,-0.5,-0.3125,3,0.0,250.370366444,99.9637007556,0.4654054069697538,
41,0,1,0,0,3,0.0,240.123831364,99.9871627967,0.3614928533694816,
42,0,1,0.0,0.0,3,0.0,240.494354306,100.042201858,0.38110375415573305,
43,0,1,0.0,0.0,3,0.0,240.893992238,100.056143545,0.3600619953850913,
44,0,1,0.0,-0.125,3,0.0,241.323458761,100.032969252,0.445886324297791,
45,0,1,0.0,-0.0625,3,0.0,241.733646368,99.9373417875,0.4249174442917555,
46,0,1,0.0,-0.125,3,0.0,242.115194097,99.828420635,0.3653974500199416,
47,0,1,0.0,-0.1875,3,0.0,242.442192909,99.7662222761,0.2791982459356174,
48,0,1,0.0,-0.0625,3,0.0,242.751052879,99.7051787929,0.38497417847119947,
49,0,1,0.0,0.0,3,0.0,243.145464883,99.5736596679,0.46064898849758823,
50,0,1,0.0,0.0625,3,0.0,243.568621565,99.395191552,0.4440640047593214,
51,0,1,0.0,-0.125,3,0.0,243.963415301,99.3024846176,0.3243496231348287,
52,0,1,0.0,0.0,3,0.0,244.310224906,99.1973180366,0.40705648450872467,
53,0,1,0.0,0.0,3,0.0,244.702249057,99.1290579119,0.4291935893849948,
54,0,1,0.0,0.0,3,0.0,245.112671923,99.01373584,0.4180511076933054,
55,0,1,0.0,0.0,3,0.0,245.527935559,98.9138656048,0.4196992779876405,
56,0,1,0.0,-0.0625,3,0.0,245.942469136,98.8578323905,0.41796580809890654,
57,0,1,0.0,-0.0625,3,0.0,246.349803477,98.7427068646,0.43968550650312516,
58,0,1,0.0,0.0,3,0.0,246.767346953,98.5781652316,0.43055401962504625,
59,0,1,0.0,0.0625,3,0.0,247.161443982,98.438015398,0.43238792237229134,
60,0,1,0.0,-0.0625,3,0.0,247.575813379,98.3637988481,0.3848150047704468,
61,0,1,0.0,-0.0625,3,0.0,247.963461486,98.2903805335,0.41869801735348866,
