,time,speed,wind,x,y,
1,0.5,0.0,0.0,0.0,0.0,
2,1.0,0.070510577559,0.0,240.011042654,99.9999495481,
3,1.5,0.17289259597,0.0,240.001092162,99.995325349,
4,2.0,0.0637451826101,0.0,239.904705822,99.9787026878,
5,2.5,0.114035620362,0.0,239.863259254,99.9830357713,
6,3.0,0.12481657359,0.0,239.822619271,99.9763885572,
7,3.5,0.0835791949332,0.0,239.781335482,99.9680733597,
8,4.0,0.0824409839982,0.0,239.741471785,99.9573212449,
9,4.5,0.0820720179114,0.0,239.702401031,99.9470018495,
10,5.0,0.0679323655585,0.0,239.666389597,99.9390970221,
11,5.5,0.0784536265825,0.0,239.626073172,99.9262411689,
12,6.0,0.0934437792043,0.0,239.584029026,99.9116310932,
13,6.5,0.087971521986,0.0,239.539767377,99.894358929,
14,7.0,0.100666560633,0.0,239.49517307,99.8802515948,
15,7.5,0.109421374724,0.0,239.447429094,99.8646144373,
16,8.0,0.109165846535,0.0,239.399535038,99.8475925468,
17,8.5,0.117924281411,0.0,239.347661847,99.8243092809,
18,9.0,0.126107227852,0.0,239.288936386,99.8006052789,
19,9.5,0.126596895148,0.0,239.229860158,99.7752081448,
20,10.0,0.137431421433,0.0,239.169433144,99.751609573,
21,10.5,0.149842008887,0.0,239.104152221,99.7200982127,
22,11.0,0.158098612267,0.0,239.032321007,99.6849517494,
23,11.5,0.170927913533,0.0,238.960725397,99.6440639801,
24,12.0,0.179882152817,0.0,238.890810348,99.6068046329,
25,12.5,0.183937398297,0.0,238.810159466,99.5583364201,
26,13.0,0.196617931326,0.0,238.729329903,99.5089673122,
27,13.5,0.203655923605,0.0,238.648614004,99.4485057554,
28,14.0,0.208923741115,0.0,238.563965043,99.3828561589,
29,14.5,0.205920773401,0.0,238.492602267,99.3188445038,
30,15.0,0.207829324623,0.0,238.413421888,99.2473654561,
31,15.5,0.194606600465,0.0,238.345625218,99.1736509464,
32,16.0,0.189623004385,0.0,238.284143757,99.0963242761,
33,16.5,0.157030093239,0.0,238.236347488,99.0260493699,
34,17.0,0.135145546299,0.0,238.202474128,98.9635049436,
35,17.5,0.0972214578777,0.0,238.180299161,98.9151866833,
36,18.0,0.0837987231177,0.0,238.174507719,98.8702273461,
37,18.5,0.0683141515898,0.0,238.179726477,98.8357225597,
38,19.0,0.0666464975605,0.0,238.198726809,98.8096568609,
39,19.5,0.12672854012,0.0,238.232191714,98.8178566378,
40,20.0,0.201694188523,0.0,238.267291228,98.894157412,
41,20.5,0.219638061099,0.0,238.325414628,98.9880185407,
42,21.0,0.212177855505,0.0,238.386619829,99.0672394004,
43,21.5,0.190542457321,0.0,238.464449674,99.1371483025,
44,22.0,0.175376200858,0.0,238.534653892,99.1930175628,
45,22.5,0.154079522622,0.0,238.606708301,99.2346137684,
46,23.0,0.141522832274,0.0,238.664712175,99.264240344,
47,23.5,0.126840642099,0.0,238.73056718,99.2881675284,
48,24.0,0.1179841053,0.0,238.785885011,99.3023937054,
49,24.5,0.113475951815,0.0,238.844125837,99.3150358406,
50,25.0,0.111219111332,0.0,238.899357977,99.3251136607,
51,25.5,0.107666776144,0.0,238.949164746,99.3353908032,
52,26.0,0.104742719912,0.0,239.004405287,99.3406014357,
53,26.5,0.103848845247,0.0,239.056175754,99.3450914973,
54,27.0,0.103066769765,0.0,239.109354236,99.3465229455,
55,27.5,0.10225837627,0.0,239.155397155,99.3512744359,
56,28.0,0.0994457281893,0.0,239.206813613,99.3539667458,
57,28.5,0.0969790195901,0.0,239.255282388,99.3566833124,
58,29.0,0.0942477280865,0.0,239.304903683,99.354709024,
59,29.5,0.0918811673698,0.0,239.347777953,99.3549592775,
60,30.0,0.0896335040347,0.0,239.396939047,99.3543874446,
61,30.5,0.0891956168927,0.0,239.439998028,99.3561428406,
62,31.0,0.0869970613166,0.0,239.485912433,99.3550491432,
63,31.5,0.0844847854202,0.0,239.528710964,99.3542640372,
64,32.0,0.0822979219663,0.0,239.566728154,99.3512235988,
65,32.5,0.0807928142347,0.0,239.608529875,99.3507618708,
66,33.0,0.0785922641344,0.0,239.647928413,99.3498661924,
67,33.5,0.0762175596568,0.0,239.687889285,99.3499980649,
68,34.0,0.071833193338,0.0,239.721981547,99.3477725097,
69,34.5,0.0691561752863,0.0,239.760280902,99.3459559897,
70,35.0,0.0676001765784,0.0,239.793297968,99.3440671886,
71,35.5,0.0656366309761,0.0,239.828243338,99.3450951676,
72,36.0,0.0642644383207,0.0,239.858042581,99.3452257225,
73,36.5,0.0625554880433,0.0,239.890703712,99.3444925285,
74,37.0,0.0602916971886,0.0,239.920949142,99.3420822605,
75,37.5,0.0590583771303,0.0,239.951392878,99.3431926056,
76,38.0,0.0575132388787,0.0,239.980251558,99.3463812475,
77,38.5,0.0568638897798,0.0,240.006715824,99.3488295594,
78,39.0,0.0566724766422,0.0,240.036638818,99.349299384,
79,39.5,0.0559193223702,0.0,240.065188122,99.3497795002,
80,40.0,0.0558029080445,0.0,240.094303475,99.3515651755,
81,40.5,0.0579716703219,0.0,240.120172118,99.3552618733,
82,41.0,0.0600325379825,0.0,240.151502744,99.3589386503,
83,41.5,0.0602555166336,0.0,240.17995875,99.3613766347,
84,42.0,0.0604533511459,0.0,240.211073897,99.3629994121,
