,state,wind,x,y,speed,heeling,
1,1,0.0,240.119304956,100.081724368,0.67107791451072,5.0,11.759315558712082,7.639501329088793,
2,1,0.0,240.356301616,99.9176449792,0.11359579980845981,11.0,12.904887017771728,10.485907014472923,
3,1,0.0,240.422180548,99.9141860702,0.05738944269195868,8.0,13.490514238015729,10.528416239363068,
4,1,0.0,240.329219014,100.052499925,0.2510026255728634,10.0,11.246476064578253,10.408840184910684,
5,1,0.0,240.141209891,100.282560942,0.3269235763522604,11.0,6.759935585304328,12.542066978499937,
6,1,0.0,239.925768603,100.593954033,0.39262896191123586,11.0,2.9304538550995525,13.372958930348673,
7,1,0.0,239.711818016,100.940647744,0.42730993391581595,12.0,1.3717412535853923,15.53089814777195,
8,1,0.0,239.490700785,101.313907474,0.4384400493726192,12.0,0.5698925746121493,15.954000670394837,
9,1,0.0,239.268087744,101.705387405,0.4474008340410349,12.0,-0.2638996771337141,15.60008276229117,
10,1,0.0,239.049927694,102.089535154,0.45081281055528655,12.0,-0.31598968711803543,15.556997391797793,
11,1,0.0,238.817232758,102.492125976,0.4489417320114171,12.0,0.42436167316838463,15.85540138928666,
12,1,0.0,238.592417916,102.874864204,0.4487091086315742,12.0,0.3908030325500638,15.857574474907906,
13,1,0.0,238.363512361,103.271101107,0.449396770123279,12.0,0.33863058350513264,15.851152017468374,
14,1,0.0,238.143752403,103.652299054,0.4497331207007167,12.0,-0.5033303896376832,15.570623541750805,
15,1,0.0,237.923905255,104.03585365,0.45115217249727096,12.0,0.21456772173908398,15.83477696171373,
16,1,0.0,237.688445428,104.434156418,0.44860304925669353,12.0,0.16814937260021776,15.8585654088515,
17,1,0.0,237.46974079,104.80982359,0.44804152684881066,12.0,0.10448583482471561,15.86381354380313,
18,1,0.0,237.235483024,105.207984149,0.44880109384110345,12.0,0.04119006724378328,15.856715122210423,
19,1,0.0,237.014937228,105.58274105,0.44817567428171345,12.0,-0.025150527626781632,15.862559503958126,
20,1,0.0,236.78160537,105.980478191,0.4470665433531946,12.0,-0.10838944481010854,15.872932867343037,
21,1,0.0,236.55634437,106.356459787,0.44719404422690845,12.0,-0.1708789108688777,15.871739816016431,
22,1,0.0,236.32950147,106.73610416,0.44534635413742146,12.0,0.5387449953900124,15.365514732362254,
23,1,0.0,236.098933273,107.121422793,0.44441226436446335,12.0,-0.3331813906063125,15.89780343328238,
24,1,0.0,235.870662715,107.499462065,0.44541865871738046,12.0,0.36778363070189407,15.36485771144134,
25,1,0.0,235.637847897,107.89018375,0.4439931524614843,12.0,-0.5450566842773042,15.901736436249607,
26,1,0.0,235.407856778,108.266156994,0.4447111528989597,12.0,0.14380513809064288,15.371288745997086,
27,1,0.0,235.174876873,108.6488225,0.4423674168829394,12.0,0.013256027876053345,15.392625084097716,
28,1,0.0,234.948205746,109.018652227,0.44230703161741036,12.0,-0.12817806993669972,15.393175463813098,
29,1,0.0,234.70890144,109.407026175,0.44191469343604456,12.0,-0.3038768063450876,15.396752225637925,
30,1,0.0,234.478224597,109.77871158,0.4412100286710233,12.0,0.28038588935380593,14.1550779760351,
31,1,0.0,234.255875598,110.139653691,0.4397094775915918,12.0,-0.8029099547619029,15.416882192099775,
32,1,0.0,234.009787369,110.526952861,0.44025075702731736,12.0,-0.3385004075577469,14.166200186091247,
33,2,0.0,233.78072359,110.891729443,0.43810247475956643,12.0,-35.32074812604124,14.191128850744496,
34,2,0.0,233.564013589,111.196977037,0.31763412599147134,14.0,3.922008423644613,8.068138326599623,
35,2,0.0,233.295920238,111.379109839,0.32422915883577513,9.0,6.2627895432029534,6.791460626839686,
36,2,0.0,233.068699164,111.594100648,0.3197120039317115,11.0,3.139041318485643,8.10390852801775,
37,2,0.0,232.825076223,111.839747633,0.3536375509610868,11.0,0.7853582896777691,9.634320264906995,
38,2,0.0,232.578128198,112.100987487,0.37085077432322733,11.0,-32.05557873549475,10.113906353150206,
39,2,0.0,232.33604257,112.338134465,0.28937606314566156,12.0,10.122797445473928,5.434789659674167,
40,2,0.0,232.090904573,112.470476729,0.2788952974111846,8.0,10.122797445473928,5.477736241870859,
41,2,0.0,231.876626134,112.654980186,0.28165077986869813,10.0,5.484120453231634,7.655922968889412,
42,2,0.0,231.65287013,112.863338264,0.3303697163432758,11.0,2.3551180309324655,8.268255266568627,
43,2,0.0,231.42272982,113.105420545,0.3564144188407859,11.0,0.7853582896777691,9.614331877417712,
44,2,0.0,231.167846733,113.375277777,0.3686968721193581,11.0,-35.19218384186569,10.128201348926135,
45,2,0.0,230.939676865,113.602972709,0.2778586479564408,12.0,10.122797445473928,5.482011981427762,
46,2,0.0,230.69478291,113.72942258,0.26820907390926096,8.0,10.886485301985042,5.085338832866788,
47,2,0.0,230.494615302,113.898090503,0.2728037251011241,10.0,6.2627895432029534,7.132700402284765,
48,2,0.0,230.269412959,114.106253499,0.3230972724167178,11.0,3.139041318485643,8.071845814617147,
49,2,0.0,230.035989573,114.347630062,0.35303453294254505,11.0,0.7853582896777691,9.638667418921731,
50,2,0.0,229.785117108,114.614984769,0.3672898933349711,11.0,-38.421670939030335,10.137557638927433,
51,2,0.0,229.568491866,114.832729779,0.2607603374548173,12.0,10.886485301985042,5.119631886575546,
52,2,0.0,229.338965272,114.945525711,0.25992688061108715,8.0,11.646857029613441,4.663529605341894,
53,2,0.0,229.135034328,115.116431451,0.26540250594575465,10.0,6.2627895432029534,7.182428575760493,
54,2,0.0,228.92148893,115.30998474,0.3180786640155542,11.0,3.139041318485643,8.11937349738795,
