,scenario,state,reward_rudder,reward_sail,epoch,wind,x,y,speed,
1,0,1,0,0,2,0.0,0.0,0.0,0.0,
2,0,1,0,0,2,0.0,240.360390651,99.8684497778,0.6141753774220561,
3,0,1,0.47368421052631576,-0.4838709677419355,2,0.0,240.998031619,99.882539334,0.6444860710967084,
4,0,1,0.47368421052631576,0.12903225806451613,2,0.0,241.643554702,99.9223715755,0.6401729424905301,
5,0,1,0.47368421052631576,0.29032258064516125,3,0.0,242.246482969,99.9251006275,0.4819547611339875,
6,0,1,0,0,3,0.0,240.078584619,99.9030777249,0.4061970834793933,
7,0,1,0.47368421052631576,-0.22580645161290322,3,0.0,240.561583882,99.9156104881,0.5292416680046687,
8,0,1,0.47368421052631576,0.22580645161290322,3,0.0,241.059545059,99.9863329326,0.572974346826803,
9,0,1,0.47368421052631576,0.12903225806451613,3,0.0,241.61159005,99.9184424249,0.5810109354639105,
10,0,1,0.47368421052631576,0.03225806451612903,4,0.0,242.185926148,100.038147484,0.5230066645783736,
11,0,1,0,0,4,0.0,240.106133191,99.9876730705,0.33388814618576823,
12,0,1,0.47368421052631576,0.03225806451612903,4,0.0,240.482797583,99.9358091196,0.4356904134535641,
13,0,1,1.1052631578947367,-0.45161290322580644,4,0.0,240.855514706,99.7640019071,0.30942870944997025,
14,0,1,1.1052631578947367,-0.4838709677419355,4,0.0,241.106529713,99.5416057989,0.4460419456225527,
15,0,1,1.1052631578947367,-0.3225806451612903,4,0.0,241.512118003,99.5112733085,0.2953308857220479,
16,0,1,0.631578947368421,0.0,4,0.0,241.779091954,99.6240167792,0.5402290602057703,
17,0,1,1.263157894736842,0.06451612903225806,5,0.0,242.34033234,99.8190540296,0.5602140990623304,
18,0,1,0,0,5,0.0,240.134038407,99.9644857017,0.4139160125895483,
19,0,1,1.263157894736842,0.03225806451612903,5,0.0,240.561691551,100.196465842,0.5514411350596615,
20,0,1,1.263157894736842,0.06451612903225806,5,0.0,240.888239363,100.682743929,0.616843790714079,
21,0,1,1.263157894736842,-0.03225806451612903,5,0.0,240.876268042,101.220746752,0.47915310538258393,
