,scenario,state,reward_rudder,reward_sail,epoch,wind,x,y,speed,
1,0,1,0,0,2,0.0,0.0,0.0,0.0,
2,0,1,0,0,2,0.0,240.432970505,99.997573505,0.6641218551260167,
3,0,1,0.4,0.043478260869565216,2,0.0,241.087199994,100.07429156,0.6671840270410087,
4,0,1,0.8,0.043478260869565216,2,0.0,241.761850546,100.202121676,0.6887263198189764,
5,0,1,0.4,0.0,3,0.0,242.432291256,100.365783992,0.6957047778474155,
6,0,1,0,0,3,0.0,240.154454256,99.9793120325,0.4624914960001512,
7,0,1,0.2,0.043478260869565216,3,0.0,240.753912035,100.061813111,0.5848640802476089,
8,0,1,0.4,0.043478260869565216,3,0.0,241.197705817,99.9612338871,0.43906791559096553,
9,0,1,0.2,-0.4782608695652174,3,0.0,241.550576948,99.7407371124,0.4131185263717518,
10,0,1,0.2,-0.4782608695652174,3,0.0,241.791974877,99.465837931,0.38395657962607,
11,0,1,-0.2,-0.4782608695652174,3,0.0,242.052608783,99.1521367289,0.3243419392842409,
12,0,1,-0.4,-0.30434782608695654,3,0.0,242.232080052,99.0039109921,0.2230943346511558,
13,0,1,-0.4,-0.34782608695652173,3,0.0,242.169190591,99.2404856274,0.3738930511131973,
14,0,1,-0.2,-0.13043478260869565,3,0.0,241.971242689,99.4892929262,0.29195759837842844,
15,0,1,0.0,-0.08695652173913043,3,0.0,242.013725985,99.665171019,0.2760989309186502,
16,0,1,0.0,-0.043478260869565216,3,0.0,242.334089024,99.3225252212,0.6647785533365722,
17,0,1,0.4,0.043478260869565216,3,0.0,242.515276302,98.6450866538,0.7175504252380728,
18,0,1,-0.4,0.0,3,0.0,242.771185853,97.9639919329,0.753860495211435,
19,0,1,0.0,0.0,3,0.0,242.865036801,97.2370027793,0.7808702804663953,
20,0,1,-0.8,-0.4782608695652174,3,0.0,242.684458646,96.7065722658,0.15734518901195876,
21,0,1,-0.8,-0.43478260869565216,3,0.0,242.742186277,97.0691597807,0.5041201434574589,
22,0,1,-0.4,-0.3913043478260869,3,0.0,242.848027494,97.5671088557,0.5599637980848398,
23,0,1,-0.6000000000000001,-0.21739130434782608,3,0.0,242.904096058,98.1157505236,0.518600111329423,
24,0,1,-0.6000000000000001,0.043478260869565216,3,0.0,242.889255328,98.4490960309,0.14413549461349315,
25,0,1,0.0,-0.08695652173913043,3,0.0,243.013949404,97.8622592222,0.7573907866252584,
26,0,1,0.0,0.043478260869565216,3,0.0,243.080520674,97.0841599655,0.7397460332956102,
27,0,1,0.0,0.08695652173913043,3,0.0,243.245055663,96.3935313639,0.7740102726814395,
28,0,1,0.4,0.043478260869565216,3,0.0,243.552347135,95.7290030085,0.5346053683904953,
29,0,1,-0.2,0.08695652173913043,3,0.0,243.972050684,95.4489693222,0.6139584585065229,
