,scenario,state,reward_rudder,reward_sail,epoch,wind,x,y,speed,
1,0,1,0,0,2,0.0,0.0,0.0,0.0,
2,0,1,0,0,2,0.0,240.027497561,100.000045956,0.05104778496685808,
3,0,1,0.0,-0.4838709677419355,2,0.0,240.066778795,100.000081128,0.030618670197900225,
4,0,1,0.0,-0.4193548387096774,2,0.0,240.112778328,100.01522647,0.23184745027526668,
5,0,1,0.0,-0.29032258064516125,2,0.0,240.310226422,100.11879326,1.876854343558873,
6,0,1,0.0,0.5161290322580645,2,0.0,240.719103068,100.196758208,0.523680579054001,
7,0,1,0.0,0.0967741935483871,2,0.0,241.294773181,100.144096228,0.6864034429622562,
8,0,1,0.0,-0.4838709677419355,2,0.0,241.92570695,99.965097211,0.6047376882451546,
9,0,1,0.0,-0.4838709677419355,2,0.0,242.494044926,99.8686634886,0.48935544937230063,
10,0,1,-0.2,-0.45161290322580644,2,0.0,242.920203788,99.8263206612,0.4197899913935693,
11,0,1,-0.2,-0.29032258064516125,2,0.0,243.250549391,99.9060866883,0.3508609235997912,
12,0,1,-0.4,-0.3548387096774194,2,0.0,243.602925137,99.8084888577,0.36266806851451805,
13,0,1,-0.6000000000000001,-0.4838709677419355,2,0.0,243.875259982,99.6272912667,0.3917578381170685,
14,0,1,-0.6000000000000001,-0.4838709677419355,2,0.0,243.861377051,99.4614137213,0.22670996411308056,
15,0,1,-0.8,-0.4193548387096774,2,0.0,244.025872272,99.2165875305,0.29400377846134385,
16,0,1,-0.8,-0.12903225806451613,2,0.0,244.174318704,99.3318050804,0.12345534267282758,
17,0,1,-0.6000000000000001,-0.03225806451612903,2,0.0,244.315551157,99.038493101,0.7416785020561313,
18,0,1,-0.8,0.06451612903225806,2,0.0,244.349628817,98.2520895227,0.7235915283355784,
19,0,1,-1.0,-0.4838709677419355,2,0.0,244.172466329,97.8113664649,0.02755992111791538,
20,0,1,-0.8,-0.4838709677419355,2,0.0,244.33836964,98.2659309961,0.7178616686622017,
21,0,1,-0.6000000000000001,-0.3870967741935484,2,0.0,244.621116769,98.9708211113,0.7870565459540618,
22,0,1,-0.6000000000000001,-0.16129032258064516,2,0.0,244.880181581,99.6808384879,0.590202591012306,
23,0,1,-0.6000000000000001,-0.12903225806451613,2,0.0,245.03038971,99.9600674406,0.10057597887076257,
24,0,1,-0.6000000000000001,-0.4838709677419355,2,0.0,245.017807079,99.8940069232,0.1634345598536735,
25,0,1,-0.6000000000000001,-0.25806451612903225,2,0.0,245.271134616,100.344078537,0.5108255336229571,
26,0,1,-0.6000000000000001,0.0,2,0.0,245.46492054,100.575015714,0.06173559169894607,
27,0,1,-0.6000000000000001,0.3870967741935484,2,0.0,245.310109254,100.512027422,0.19911535572503108,
28,0,1,-0.6000000000000001,-0.4838709677419355,3,0.0,245.607620079,100.936496553,0.7307415051513256,
29,0,1,0,0,3,0.0,240.069727634,99.9295504284,0.2924698605106217,
30,0,1,0.0,0.0,3,0.0,240.459212128,99.8235578701,0.5927542284157935,
31,0,1,0.0,0.0,3,0.0,241.101150925,99.918408402,0.6869803006732276,
32,0,1,-0.2,0.03225806451612903,3,0.0,241.715744443,99.607559356,0.7550724751223707,
33,0,1,-0.6000000000000001,0.0967741935483871,3,0.0,242.221713245,99.0477085144,0.703541103165395,
34,0,1,-0.8,-0.22580645161290322,3,0.0,242.383368213,98.4424735333,0.6691843948045259,
35,0,1,-1.0,0.1935483870967742,3,0.0,242.353773286,97.8139559023,0.47221762281924473,
36,0,1,-0.6000000000000001,0.29032258064516125,3,0.0,242.194444484,97.7401905743,0.13532699276191382,
37,0,1,-0.6000000000000001,-0.3225806451612903,3,0.0,242.353370376,97.9644337734,0.4294997966070262,
