,scenario,state,reward_rudder,reward_sail,epoch,wind,x,y,speed,
1,0,1,0,0,2,0.0,0.0,0.0,0.0,
2,0,1,0,0,2,0.0,240.034686087,100.000057573,0.032723173375021425,
3,0,1,-1.1052631578947367,-0.22580645161290322,2,0.0,240.28919517,100.15623849,0.4440777022951458,
4,0,1,-0.9473684210526315,0.5161290322580645,2,0.0,240.747030623,100.192516867,0.49249276589596763,
5,0,1,-0.631578947368421,0.16129032258064516,2,0.0,241.272196223,100.227230953,0.5781196902694787,
6,0,1,-0.631578947368421,0.03225806451612903,2,0.0,241.819806372,100.058842329,0.6393316223312546,
7,0,1,-0.631578947368421,-0.4838709677419355,2,0.0,242.321640673,100.019433799,0.685301650315994,
8,0,1,-0.631578947368421,-0.4838709677419355,3,0.0,242.849441233,99.9105243851,0.4714838599036572,
9,0,1,0,0,3,0.0,240.004782087,100.038270418,0.17193772072258762,
10,0,1,-0.631578947368421,-0.4838709677419355,3,0.0,240.072608028,100.08337644,0.3943050066865697,
11,0,1,-0.47368421052631576,0.1935483870967742,3,0.0,240.675845269,100.102602506,0.6892685949030322,
12,0,1,-1.1052631578947367,0.0967741935483871,3,0.0,241.269868458,100.174927972,0.5593589682779175,
13,0,1,-0.7894736842105263,0.16129032258064516,3,0.0,241.744030785,100.204400686,0.4240131662152175,
14,0,1,-0.631578947368421,0.0,3,0.0,242.189664666,99.9904283165,0.6951308314581511,
15,0,1,-0.631578947368421,-0.4838709677419355,4,0.0,242.861830362,99.8794144804,0.746420800510833,
16,0,1,0,0,5,0.0,243.553323834,99.6614618856,0.7061542859333302,
17,0,1,0,0,5,0.0,239.995016559,99.9717540086,0.16574410112671306,
18,0,1,-0.631578947368421,-0.4838709677419355,5,0.0,240.468411993,100.035041147,1.9273605334985,
19,0,1,-0.631578947368421,0.4193548387096774,5,0.0,241.161753631,100.035992093,0.7044182550176455,
20,0,1,-0.47368421052631576,0.0967741935483871,5,0.0,241.643514177,100.071892347,0.5886645554435467,
21,0,1,-0.47368421052631576,0.16129032258064516,5,0.0,242.145590771,100.28804376,0.6952715229172401,
22,0,1,-0.631578947368421,0.22580645161290322,5,0.0,242.715023576,100.630933401,0.695150317955077,
23,0,1,-0.15789473684210525,0.1935483870967742,5,0.0,243.155033894,100.836209111,0.3977127812505549,
24,0,1,-0.9473684210526315,-0.03225806451612903,6,0.0,243.577109867,100.95947177,0.4053714022218474,
25,0,1,0,0,7,0.0,244.041861317,101.310155072,0.5278699715743418,
